session (db id),prolific id,dataset,pred (db id),case (db id),system prediction,sys pred proba,actual result,is sys correct,human prediction,is human correct,human trust task,human trust sys,1rst feature,2nd feature,timestamp,duration,sesion valida,falla atencion
520,60fdbc6de47e503034ea367d,adult_cfs,1261,38967,1,1.0,1,1,1,1,89,5,Similar cases,Education,2024-06-26 14:13:08.654114+00:00,2.496821983333333,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1262,35968,0,0.99,0,1,0,1,75,5,Working class,Relationship,2024-06-26 14:15:43.676517+00:00,2.5837067166666667,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1263,39287,1,0.92,0,0,1,0,71,5,Working class,AI prediction,2024-06-26 14:17:33.172541+00:00,1.8249337333333335,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1264,39426,1,0.6533333333333334,0,0,0,1,65,5,Working class,Similar cases,2024-06-26 14:18:58.903775+00:00,1.4288539,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1265,38652,0,1.0,0,1,0,1,70,5,Similar cases,AI prediction,2024-06-26 14:20:12.903209+00:00,1.2333238999999998,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1266,35992,1,0.6333333333333333,1,1,1,1,68,5,Similar cases,Education,2024-06-26 14:22:14.439512+00:00,2.0256050500000002,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1267,37234,0,0.805,1,0,0,0,67,5,Similar cases,Education,2024-06-26 14:24:03.380397+00:00,1.8156814166666666,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1268,38599,0,0.71,1,0,1,1,56,4,Similar cases,Working class,2024-06-26 14:25:01.103967+00:00,0.9620595000000001,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1270,38674,0,0.75,1,0,1,1,64,5,Similar cases,Working class,2024-06-26 14:26:21.400597+00:00,1.3382771666666666,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1272,39414,0,0.96,0,1,0,1,70,5,Education,Working class,2024-06-26 14:26:57.815191+00:00,0.6069099,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1273,39393,0,0.8225,0,1,0,1,70,5,Similar cases,AI prediction,2024-06-26 14:27:42.926418+00:00,0.7518537833333333,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1275,38223,1,0.88,1,1,1,1,71,5,Working class,Education,2024-06-26 14:28:11.608289+00:00,0.47803118333333333,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1277,36532,1,0.7924285714285714,0,0,1,0,69,4,Similar cases,Occupation,2024-06-26 14:29:13.713266+00:00,1.03508295,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1280,39444,0,0.85,1,0,0,0,63,5,Similar cases,Education,2024-06-26 14:30:21.801800+00:00,1.1348089,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1283,38046,1,0.66,0,0,1,0,66,5,Similar cases,Marital status,2024-06-26 14:31:44.937025+00:00,1.3855870833333335,1,False
520,60fdbc6de47e503034ea367d,adult_cfs,1288,38615,1,0.53,1,1,0,0,67,5,Education,Working class,2024-06-26 14:33:17.848945+00:00,1.548532,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1269,38085,0,1.0,0,1,0,1,90,6,Occupation,Education,2024-06-26 14:25:56.898397+00:00,3.019208433333333,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1271,39605,1,0.99,1,1,1,1,80,6,Similar cases,Occupation,2024-06-26 14:26:55.883654+00:00,0.9830876166666667,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1274,35351,1,0.56725,1,1,1,1,82,6,Occupation,Similar cases,2024-06-26 14:27:55.276260+00:00,0.9898767666666667,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1276,35744,0,0.78,1,0,0,0,84,5,Similar cases,Occupation,2024-06-26 14:28:36.724167+00:00,0.6907984500000001,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1278,37344,0,1.0,0,1,0,1,92,4,Similar cases,Occupation,2024-06-26 14:29:19.299596+00:00,0.7095904833333333,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1279,37460,0,0.9793333333333333,0,1,0,1,91,6,Occupation,Similar cases,2024-06-26 14:29:53.256145+00:00,0.5659424833333334,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1281,39379,1,0.68,0,0,0,1,64,3,Similar cases,Education,2024-06-26 14:30:49.204045+00:00,0.932465,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1282,38046,1,0.66,0,0,1,0,51,6,Similar cases,AI prediction,2024-06-26 14:31:22.701113+00:00,0.5582844666666666,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1284,39324,1,1.0,1,1,1,1,88,7,AI prediction,Similar cases,2024-06-26 14:31:51.118783+00:00,0.47362783333333336,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1285,35862,0,0.76,1,0,0,0,84,6,AI prediction,Similar cases,2024-06-26 14:32:12.430663+00:00,0.35519799999999996,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1286,38267,1,0.65,0,0,0,1,65,3,Similar cases,Occupation,2024-06-26 14:32:46.241082+00:00,0.5635069833333334,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1287,35453,1,0.7252380952380952,1,1,1,1,87,7,AI prediction,Similar cases,2024-06-26 14:33:08.279373+00:00,0.36730485,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1289,39810,1,0.5158333333333333,0,0,1,0,75,4,AI prediction,Similar cases,2024-06-26 14:33:53.054699+00:00,0.7462554333333333,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1290,37229,0,1.0,0,1,0,1,95,8,Similar cases,AI prediction,2024-06-26 14:34:08.079291+00:00,0.25040986666666665,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1291,39252,0,0.84,1,0,1,1,73,5,Similar cases,Occupation,2024-06-26 14:34:32.293269+00:00,0.4035663,1,False
521,664df004fc7d9dafa3ab20df,adult_cfs,1292,38475,0,0.7382857142857141,1,0,0,0,72,3,Similar cases,Education,2024-06-26 14:34:53.399549+00:00,0.3517713333333334,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1293,36272,0,1.0,0,1,0,1,98,8,Similar cases,Education,2024-06-26 14:37:53.858019+00:00,5.0539043999999995,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1294,35374,0,0.6,1,0,0,0,82,7,Similar cases,Occupation,2024-06-26 14:39:47.146726+00:00,1.8881451166666667,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1295,39631,1,0.7,0,0,1,0,79,6,Similar cases,Education,2024-06-26 14:41:10.681662+00:00,1.3922489333333334,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1296,37772,1,0.56,1,1,1,1,81,7,Similar cases,Working class,2024-06-26 14:42:09.952191+00:00,0.9878421500000001,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1297,36437,0,1.0,0,1,0,1,93,8,Education,Working class,2024-06-26 14:42:54.607505+00:00,0.7442552333333333,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1298,35803,1,0.61,0,0,0,1,77,6,Occupation,Working class,2024-06-26 14:43:35.816479+00:00,0.6868162333333333,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1302,35245,0,0.94,1,0,0,0,92,8,Education,Occupation,2024-06-26 14:44:55.163634+00:00,1.3224525833333334,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1305,38294,0,1.0,0,1,0,1,92,7,Education,Relationship,2024-06-26 14:45:38.978082+00:00,0.7302408,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1307,39523,0,0.99,0,1,0,1,89,8,Education,Occupation,2024-06-26 14:46:41.835289+00:00,1.0476201166666668,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1310,38755,1,0.59,0,0,1,0,89,8,Education,Occupation,2024-06-26 14:47:21.061885+00:00,0.6537766,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1314,39894,0,0.5980952380952381,1,0,1,1,86,7,Occupation,Education,2024-06-26 14:47:59.125449+00:00,0.6343927333333333,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1317,35436,1,0.93,1,1,1,1,84,7,Similar cases,Occupation,2024-06-26 14:49:13.815903+00:00,1.2448409,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1320,37033,1,0.99,1,1,1,1,90,8,Education,Occupation,2024-06-26 14:50:26.985676+00:00,1.2194962166666667,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1324,36790,1,0.7388497899159664,0,0,0,1,86,7,Education,Occupation,2024-06-26 14:51:15.243205+00:00,0.80429215,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1329,35917,0,0.54,1,0,1,1,78,7,Working class,Similar cases,2024-06-26 14:52:21.955639+00:00,1.1118739,1,False
522,66718efa0b149d540c89a9fa,adult_cfs,1333,39588,1,0.86,1,1,1,1,85,7,Occupation,Education,2024-06-26 14:53:06.699832+00:00,0.74573655,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1300,38168,0,0.7308333333333333,1,0,0,0,87,9,Occupation,Age,2024-06-26 14:44:06.138564+00:00,7.892489566666667,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1304,35592,1,0.93,0,0,1,0,92,9,Occupation,Working class,2024-06-26 14:45:36.947444+00:00,1.5134813333333335,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1308,38574,1,1.0,1,1,1,1,97,9,Capital gain,Occupation,2024-06-26 14:46:47.236730+00:00,1.1714881000000001,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1313,35777,0,1.0,0,1,0,1,91,8,Hours per week,Occupation,2024-06-26 14:47:54.396884+00:00,1.1193359,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1404,35304,0,0.6666666666666667,1,0,1,1,84,9,Occupation,AI prediction,2024-06-26 15:14:59.222387+00:00,27.08042505,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1416,37851,1,0.98,1,1,1,1,95,9,Education,Working class,2024-06-26 15:23:59.539404+00:00,9.005283616666667,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1417,38444,0,0.87,1,0,0,0,91,9,Working class,Age,2024-06-26 15:29:39.504722+00:00,5.666088633333334,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1418,37470,1,0.585,0,0,0,1,82,8,Education,Occupation,2024-06-26 15:31:21.196850+00:00,1.6948687999999998,1,False
523,6667f20f6275c1a2f0ac01f0,adult_control,1419,36798,0,0.68,0,1,1,0,75,8,Working class,Relationship,2024-06-26 15:40:27.485056+00:00,9.104803433333332,1,False
